ts	hosp_mladsi	hosp_65	hosp_75
1598486400	48.0	40.0	59.0
1598572800	55.0	41.0	59.0
1598659200	54.0	38.0	61.0
1598745600	55.0	41.0	57.0
1598832000	60.0	45.0	65.0
1598918400	63.0	48.0	66.0
1599004800	62.0	54.0	63.0
1599091200	70.0	56.0	67.0
1599177600	71.0	61.0	65.0
1599264000	78.0	62.0	67.0
1599350400	78.0	68.0	72.0
1599436800	93.0	78.0	83.0
1599523200	89.0	79.0	83.0
1599609600	87.0	88.0	89.0
1599696000	92.0	89.0	90.0
1599782400	100.0	103.0	103.0
1599868800	90.0	90.0	102.0
1599955200	100.0	98.0	106.0
1600041600	108.0	110.0	120.0
1600128000	116.0	106.0	146.0
1600214400	130.0	111.0	157.0
1600300800	166.0	130.0	196.0
1600387200	174.0	139.0	211.0
1600473600	162.0	128.0	217.0
1600560000	168.0	137.0	226.0
1600646400	194.0	158.0	259.0
1600732800	204.0	167.0	264.0
1600819200	236.0	181.0	291.0
1600905600	256.0	199.0	312.0
1600992000	270.0	221.0	334.0
1601078400	264.0	217.0	316.0
1601164800	285.0	227.0	311.0
1601251200	283.0	236.0	326.0
1601337600	321.0	290.0	387.0
1601424000	331.0	316.0	414.0
1601510400	356.0	344.0	463.0
1601596800	395.0	354.0	489.0
1601683200	364.0	353.0	490.0
1601769600	377.0	386.0	516.0
1601856000	442.0	437.0	607.0
1601942400	467.0	472.0	693.0
1602028800	494.0	516.0	772.0
1602115200	530.0	553.0	868.0
1602201600	586.0	606.0	951.0
1602288000	580.0	611.0	972.0
1602374400	601.0	618.0	995.0
1602460800	701.0	735.0	1137.0
1602547200	712.0	752.0	1221.0
1602633600	782.0	819.0	1365.0
1602720000	851.0	874.0	1476.0
1602806400	911.0	921.0	1608.0
1602892800	911.0	952.0	1670.0
1602979200	966.0	1024.0	1704.0
1603065600	1075.0	1162.0	1898.0
1603152000	1126.0	1265.0	2042.0
1603238400	1238.0	1368.0	2239.0
1603324800	1286.0	1437.0	2365.0
1603411200	1407.0	1513.0	2516.0
1603497600	1330.0	1536.0	2490.0
1603584000	1402.0	1642.0	2621.0
1603670400	1549.0	1785.0	2846.0
1603756800	1599.0	1888.0	3025.0
1603843200	1586.0	1911.0	3069.0
1603929600	1772.0	2100.0	3391.0
1604016000	1828.0	2200.0	3608.0
1604102400	1741.0	2087.0	3480.0
1604188800	1766.0	2139.0	3539.0
1604275200	1918.0	2277.0	3822.0
1604361600	1908.0	2275.0	3921.0
1604448000	1912.0	2263.0	3986.0
1604534400	1927.0	2251.0	3963.0
1604620800	1863.0	2234.0	3936.0
1604707200	1673.0	2022.0	3717.0
1604793600	1670.0	2052.0	3667.0
1604880000	1722.0	2104.0	3841.0
1604966400	1658.0	2067.0	3772.0
1605052800	1595.0	1973.0	3671.0
1605139200	1579.0	1914.0	3589.0
1605225600	1570.0	1894.0	3515.0
1605312000	1414.0	1732.0	3305.0
1605398400	1396.0	1703.0	3197.0
1605484800	1450.0	1791.0	3278.0
1605571200	1325.0	1687.0	3068.0
1605657600	1430.0	1771.0	3253.0
1605744000	1376.0	1714.0	3125.0
1605830400	1317.0	1658.0	3011.0
1605916800	1184.0	1453.0	2707.0
1606003200	1194.0	1443.0	2673.0
1606089600	1287.0	1522.0	2858.0
1606176000	1256.0	1478.0	2759.0
1606262400	1200.0	1426.0	2662.0
1606348800	1162.0	1374.0	2594.0
1606435200	1092.0	1313.0	2516.0
1606521600	990.0	1178.0	2282.0
1606608000	1007.0	1199.0	2303.0
1606694400	1056.0	1274.0	2479.0
1606780800	1019.0	1207.0	2416.0
1606867200	980.0	1193.0	2366.0
1606953600	944.0	1201.0	2352.0
1607040000	939.0	1215.0	2310.0
1607126400	858.0	1118.0	2130.0
1607212800	890.0	1123.0	2145.0
1607299200	984.0	1211.0	2305.0
1607385600	944.0	1212.0	2252.0
1607472000	945.0	1212.0	2304.0
1607558400	958.0	1244.0	2348.0
1607644800	997.0	1242.0	2290.0
1607731200	954.0	1176.0	2169.0
1607817600	985.0	1211.0	2215.0
1607904000	1082.0	1308.0	2377.0
1607990400	1081.0	1287.0	2374.0
1608076800	1070.0	1280.0	2360.0
1608163200	1123.0	1283.0	2356.0
1608249600	1134.0	1292.0	2354.0
1608336000	1041.0	1225.0	2214.0
1608422400	1070.0	1276.0	2231.0
1608508800	1160.0	1402.0	2393.0
1608595200	1144.0	1426.0	2361.0
1608681600	1173.0	1431.0	2356.0
1608768000	1011.0	1247.0	2046.0
1608854400	1052.0	1254.0	2075.0
1608940800	1090.0	1364.0	2187.0
1609027200	1166.0	1474.0	2322.0
1609113600	1352.0	1684.0	2683.0
1609200000	1442.0	1738.0	2779.0
1609286400	1518.0	1792.0	2809.0
1609372800	1506.0	1801.0	2827.0
1609459200	1342.0	1650.0	2649.0
1609545600	1437.0	1742.0	2765.0
1609632000	1537.0	1829.0	2905.0
1609718400	1754.0	2113.0	3330.0
1609804800	1724.0	2140.0	3514.0
1609891200	1681.0	2138.0	3547.0
1609977600	1712.0	2170.0	3609.0
1610064000	1652.0	2087.0	3551.0
1610150400	1459.0	1950.0	3303.0
1610236800	1499.0	1976.0	3381.0
1610323200	1666.0	2143.0	3623.0
1610409600	1661.0	2118.0	3670.0
1610496000	1621.0	2046.0	3617.0
1610582400	1558.0	1975.0	3498.0
